Flight_Number,Flight_Date,Origin,Destination,Route,Aircraft_Type,Aircraft_Capacity,Passengers,Load_Factor,Flight_Hours,Season,Route_Category,Demand_Level,Ticket_Revenue,Ancillary_Revenue,Total_Revenue,Fuel_Cost,Maintenance_Cost,Crew_Cost,Depreciation_Cost,Insurance_Cost,Airport_Fees,Catering_Cost,Handling_Cost,Navigation_Fees,Sales_Distribution_Cost,Passenger_Service_Cost,Overhead_Cost,Marketing_Cost,IT_Systems_Cost,Total_Cost,Profit,Profit_Margin,Month,MonthName,Quarter,Weekday,YearMonth,Week,Direct_Op_Cost,Service_Cost,Indirect_Cost,Revenue_per_Pax,Cost_per_Pax,Profit_per_Pax,ASK,RASK,CASK,Is_Profitable
EK5478,2024-07-05,DXB,HKG,DXB-HKG,Boeing 777-300ER,396,298,0.755,8.5,Low,Long Haul,High,599820.02,67653.68,667473.69,71054.71,29750.0,12750.0,38250.0,6800.0,4959.16,5455.490000000049,3517.97,6270.08,113852.44,8189.55,46102.42,39145.07,2574.56,388671.45,278802.24,41.77,7,Jul,3,Friday,2024-07,27,158604.71000000002,20202.700000000048,209864.04,2239.844597315436,1304.2666107382552,935.5779865771812,3366.0,198.2987789661319,115.46983065953654,True
EK6953,2024-09-08,DXB,SFO,DXB-SFO,Boeing 777-300ER,396,310,0.7852,16.5,Normal,Long Haul,Medium,438671.93,46427.87,485099.81,134029.21,57750.0,24750.0,74250.0,13200.0,3914.11,9123.25,3117.36,11028.06,69399.26,8847.95,95643.68,26522.43,4528.6,536103.9,-51004.1,-10.51,9,Sep,3,Sunday,2024-09,36,303979.20999999996,27182.78,204941.91999999998,1564.8380967741934,1729.3674193548388,-164.52935483870968,6534.0,74.2423951637588,82.04834710743802,False
EK5087,2024-07-23,DXB,BAH,DXB-BAH,Boeing 737-800,189,138,0.7337,1.3,Low,Short Haul,High,34245.9,3804.67,38050.56,3301.5,1560.0,1040.0,2340.0,390.0,3282.44,2043.72,3764.48,757.82,5592.79,2144.93,4610.91,1445.78,1299.55,33573.92,4476.64,11.76,7,Jul,3,Tuesday,2024-07,30,8631.5,9848.46,15093.96,275.7286956521739,243.28927536231882,32.43942028985507,245.70000000000002,154.86593406593406,136.64599104599102,True
EK5157,2024-07-27,DXB,AMM,DXB-AMM,Airbus A350-900,325,211,0.65,3.2,Low,Short Haul,Medium,57231.62,5796.1,63027.72,20698.47,7680.0,4160.0,11200.0,2080.0,4343.61,4179.38,2287.52,1903.13,10253.38,4861.37,18198.26,3508.39,2575.0,97928.52,-34900.8,-55.37,7,Jul,3,Saturday,2024-07,30,45818.47,12713.64,39396.399999999994,298.70957345971567,464.1162085308057,-165.40663507109005,1040.0,60.60357692307692,94.16203846153847,False
EK2075,2024-02-08,DXB,JFK,DXB-JFK,Airbus A380,517,473,0.9167,14.0,Peak,Long Haul,High,1116693.77,112577.71,1229271.48,159367.2,70000.0,28000.0,84000.0,14000.0,8400.65,13309.65,5361.6,10495.96,213809.26,10974.43,100155.31,57897.05,7088.63,782859.75,446411.74,36.32,2,Feb,1,Thursday,2024-02,6,355367.2,37567.86,389924.68,2598.882621564482,1655.0946088794926,943.7880338266384,7238.0,169.8357944183476,108.15967808786958,True
EK6891,2024-09-21,DXB,FRA,DXB-FRA,Airbus A380,517,458,0.8863,6.5,Normal,Long Haul,High,1001779.0,137051.89,1138830.89,74385.09,32500.0,13000.0,39000.0,6500.0,10490.27,7440.11,3415.28,4174.37,170038.26,8463.73,47921.6,68111.65,5014.56,490454.92,648375.98,56.93,9,Sep,3,Saturday,2024-09,38,165385.09,25520.03,299549.8,2486.530327510917,1070.862270742358,1415.66807860262,3360.5,338.8873352179735,145.9470078857313,True
EK1239,2024-01-11,DXB,DEL,DXB-DEL,Boeing 787-9,296,271,0.9163,3.5,Peak,Medium Haul,High,125024.71,15554.8,140579.51,20786.24,7700.0,4200.0,11200.0,2100.0,6811.39,8360.04,2381.46,1934.16,22286.81,4216.92,21020.91,7507.46,3916.79,124422.18,16157.33,11.49,1,Jan,1,Thursday,2024-01,2,45986.240000000005,19487.05,58948.89,518.7435793357934,459.1224354243542,59.62114391143911,1036.0,135.69450772200773,120.09862934362934,True
EK4782,2024-06-30,DXB,MEL,DXB-MEL,Boeing 777-300ER,396,245,0.6196,13.5,Low,Long Haul,Medium,205682.39,21827.74,227510.13,120632.62,47250.0,20250.0,60750.0,10800.0,3210.52,2966.89,4484.67,5531.8,35400.24,4277.56,70814.53,8860.53,2458.2,397687.55,-170177.42,-74.8,6,Jun,2,Sunday,2024-06,26,259682.62,16193.880000000001,121811.05999999998,928.6127755102041,1623.2144897959183,-694.6017142857144,5346.0,42.557076318742986,74.38973999251778,False
EK2373,2024-03-15,DXB,MCT,DXB-MCT,Boeing 737-800,189,156,0.8269,1.2,Shoulder,Short Haul,High,38328.72,5412.25,43740.97,3134.4,1440.0,960.0,2160.0,360.0,4950.55,2274.79,4675.06,699.89,7518.55,3386.98,6250.39,1773.75,1556.73,41141.08,2599.89,5.94,3,Mar,1,Friday,2024-03,11,8054.4,12600.29,20486.4,280.3908333333333,263.72487179487183,16.665961538461538,226.79999999999998,192.86141975308644,181.39805996472666,True
EK3288,2024-04-16,DXB,BLR,DXB-BLR,Airbus A350-900,325,238,0.7337,4.5,Shoulder,Medium Haul,Medium,109197.19,14888.92,124086.11,28613.61,10800.0,5850.0,15750.0,2925.0,4953.4,4981.17,3229.72,2105.76,17074.98,4667.0,22306.5,6707.92,1941.69,131906.75,-7820.64,-6.3,4,Apr,2,Tuesday,2024-04,16,63938.61,15270.05,52698.09,521.3702100840336,554.2300420168067,-32.85983193277311,1462.5,84.84520341880342,90.19264957264957,False
EK2886,2024-03-30,DXB,CDG,DXB-CDG,Boeing 787-9,296,279,0.9435,7.5,Shoulder,Long Haul,High,554145.14,61489.55,615634.69,39602.88,16500.0,9000.0,24000.0,4500.0,8665.28,5122.31,4296.3,5682.49,109856.32,5016.28,33277.21,21200.56,3781.15,290500.78,325133.91,52.81,3,Mar,1,Saturday,2024-03,13,93602.88,23766.379999999997,173131.52,2206.5759498207885,1041.2214336917564,1165.3545161290322,2220.0,277.3129234234234,130.85620720720723,True
EK7517,2024-10-31,DXB,KUL,DXB-KUL,Boeing 777-300ER,396,306,0.7736,7.5,Shoulder,Long Haul,Medium,550213.58,56691.78,606905.36,67035.58,26250.0,11250.0,33750.0,6000.0,4256.33,10506.36,3997.16,5182.35,91151.01,4988.73,56913.09,20861.93,4391.98,346534.51,260370.85,42.9,10,Oct,4,Thursday,2024-10,44,144285.58000000002,23942.199999999997,178306.74,1983.3508496732027,1132.4657189542484,850.8851307189543,2970.0,204.34523905723904,116.6782861952862,True
EK2922,2024-03-31,DXB,FRA,DXB-FRA,Boeing 787-9,296,246,0.8331,6.5,Shoulder,Long Haul,High,455170.85,55039.25,510210.1,34850.31,14300.0,7800.0,20800.0,3900.0,11883.72,4165.21,4209.38,5025.42,84576.51,5745.89,33726.9,17046.79,2040.28,250070.42,260139.68,50.99,3,Mar,1,Sunday,2024-03,13,81650.31,25283.730000000003,143136.37,2074.0247967479672,1016.5464227642277,1057.4783739837399,1924.0,265.1819646569646,129.9742307692308,True
EK5625,2024-07-24,DXB,SFO,DXB-SFO,Boeing 777-300ER,396,235,0.5936,16.5,Low,Long Haul,Medium,287717.53,31219.76,318937.29,137867.29,57750.0,24750.0,74250.0,13200.0,4021.52,4888.6,4709.41,6650.21,46747.93,3666.67,111465.03,12429.47,3032.9,505429.04,-186491.75,-58.47,7,Jul,3,Wednesday,2024-07,30,307817.29000000004,20269.74,177342.0,1357.1799574468084,2150.7618723404253,-793.5819148936171,6534.0,48.811951331496786,77.35369452096724,False
EK8219,2024-11-07,DXB,CDG,DXB-CDG,Boeing 777-300ER,396,334,0.8448,7.5,Shoulder,Long Haul,High,607658.32,61528.15,669186.47,67378.43,26250.0,11250.0,33750.0,6000.0,7951.77,11397.92,5196.7,3391.13,101442.08,7930.11,58379.53,26013.84,3200.64,369532.17,299654.31,44.78,11,Nov,4,Thursday,2024-11,45,144628.43,27937.520000000004,196966.2,2003.5523053892214,1106.38374251497,897.1685928143712,2970.0,225.31530976430975,124.42160606060605,True
EK6682,2024-09-21,DXB,LHE,DXB-LHE,Airbus A350-900,325,227,0.699,3.5,Normal,Medium Haul,Medium,167497.82,17838.8,185336.62,21010.5,8400.0,4550.0,12250.0,2275.0,3474.32,6500.15,2287.95,1448.82,24938.03,5860.38,19411.89,8846.13,3237.21,124490.38,60846.24,32.83,9,Sep,3,Saturday,2024-09,38,48485.5,13711.239999999998,62293.64,816.4608810572687,548.4157709251101,268.0451101321586,1137.5,162.9332923076923,109.4420923076923,True
EK7271,2024-10-12,DXB,BLR,DXB-BLR,Airbus A350-900,325,224,0.6916,4.5,Shoulder,Medium Haul,Medium,162205.49,17466.9,179672.4,26318.02,10800.0,5850.0,15750.0,2925.0,4718.78,6195.14,2763.17,3034.42,24988.65,4188.71,24569.11,7373.65,2620.35,142095.01,37577.39,20.91,10,Oct,4,Saturday,2024-10,41,61643.020000000004,16711.510000000002,63740.47,802.1089285714286,634.3527232142858,167.75620535714285,1462.5,122.85292307692308,97.15898119658121,True
EK1743,2024-02-06,DXB,KWI,DXB-KWI,Airbus A320,180,171,0.95,2.0,Peak,Short Haul,High,57167.25,6206.58,63373.82,4353.72,2300.0,1560.0,3400.0,560.0,2525.29,5367.16,3681.43,1132.04,7927.41,2969.08,6110.76,2727.52,2205.53,46819.93,16553.9,26.12,2,Feb,1,Tuesday,2024-02,6,12173.720000000001,12705.919999999998,21940.3,370.607134502924,273.80076023391814,96.80643274853801,360.0,176.03838888888887,130.05536111111113,True
EK7921,2024-11-17,DXB,LHR,DXB-LHR,Boeing 777-300ER,396,350,0.8848,7.0,Shoulder,Medium Haul,High,195606.19,19890.16,215496.35,64323.56,24500.0,10500.0,31500.0,5600.0,7494.53,11015.37,3768.65,4510.14,30774.39,8740.67,43068.03,11383.19,4693.77,261872.3,-46375.95,-21.52,11,Nov,4,Sunday,2024-11,46,136423.56,26788.690000000002,98660.05,615.7038571428571,748.2065714285714,-132.5027142857143,2772.0,77.740386002886,94.47052669552669,False
EK8911,2024-12-23,DXB,FRA,DXB-FRA,Boeing 777-300ER,396,376,0.95,6.5,Peak,Long Haul,High,548822.59,79256.87,628079.46,49906.35,22750.0,9750.0,29250.0,5200.0,11815.6,8535.1,4259.27,4096.39,80785.46,7231.58,47768.26,35915.67,3134.34,320398.02,307681.44,48.99,12,Dec,4,Monday,2024-12,52,116856.35,28706.36,174835.31000000003,1670.4240957446807,852.1223936170213,818.3017021276596,2574.0,244.0091142191142,124.47475524475526,True
EK7400,2024-10-05,DXB,SYD,DXB-SYD,Boeing 777-300ER,396,334,0.8449,14.5,Shoulder,Long Haul,High,544057.99,55957.12,600015.11,125387.67,50750.0,21750.0,65250.0,11600.0,9828.12,11119.54,3704.95,6058.44,95134.96,5265.98,85760.22,31786.1,4963.08,528359.07,71656.04,11.94,10,Oct,4,Saturday,2024-10,40,274737.67,30711.050000000003,222910.34,1796.4524251497005,1581.9133832335328,214.53904191616763,5742.0,104.49583942877047,92.01655694879832,True
EK4409,2024-06-02,DXB,BAH,DXB-BAH,Airbus A320,180,129,0.7209,1.3,Low,Short Haul,High,31405.33,3984.68,35390.01,2992.84,1495.0,1014.0,2210.0,364.0,3128.22,3159.06,4696.11,553.92,4746.19,2203.11,6658.06,2026.47,1110.67,36357.64,-967.64,-2.73,6,Jun,2,Sunday,2024-06,22,8075.84,11537.31,16744.5,274.3411627906977,281.84217054263564,-7.501085271317829,234.0,151.239358974359,155.37452991452992,False
EK4528,2024-06-16,DXB,DEL,DXB-DEL,Airbus A350-900,325,228,0.7031,3.5,Low,Medium Haul,High,107888.21,15879.04,123767.25,21006.19,8400.0,4550.0,12250.0,2275.0,5034.75,4901.12,3387.85,1496.02,20668.14,5019.41,20406.68,6420.91,3322.64,119138.71,4628.54,3.74,6,Jun,2,Sunday,2024-06,24,48481.19,14819.74,55837.78,542.8388157894736,522.538201754386,20.30061403508772,1137.5,108.80637362637363,104.73732747252748,True
EK3680,2024-05-21,DXB,MCT,DXB-MCT,Boeing 737-800,189,161,0.856,1.2,Normal,Short Haul,High,40122.27,5030.960000000006,45153.23,3051.42,1440.0,960.0,2160.0,360.0,4815.05,4791.81,2098.91,622.04,6390.39,3055.55,6654.88,2380.19,1877.1,40657.33,4495.9,9.96,5,May,2,Tuesday,2024-05,21,7971.42,12327.810000000001,20358.109999999997,280.4548447204969,252.53,27.924844720496893,226.79999999999998,199.08831569664906,179.26512345679015,True
EK5709,2024-08-10,DXB,KWI,DXB-KWI,Airbus A320,180,141,0.7866,2.0,Low,Short Haul,High,39730.35,5594.02,45324.37,4845.97,2300.0,1560.0,3400.0,560.0,4880.7,1970.75,4395.28,919.72,6735.39,4110.24,7287.38,1391.35,2021.83,46378.6,-1054.23,-2.33,8,Aug,3,Saturday,2024-08,32,12665.970000000001,12166.449999999999,21546.190000000002,321.4494326241135,328.92624113475176,-7.476808510638298,360.0,125.90102777777778,128.82944444444445,False
EK6905,2024-09-11,DXB,FRA,DXB-FRA,Airbus A380,517,468,0.9054,6.5,Normal,Long Haul,High,560496.54,71043.6,631540.14,83780.76,32500.0,13000.0,39000.0,6500.0,6116.4,15175.59,4262.62,2651.29,93124.11,13049.46,67403.93,31999.45,6643.35,415206.96,216333.19,34.25,9,Sep,3,Wednesday,2024-09,37,174780.76,28205.899999999998,212220.30000000002,1349.4447435897437,887.194358974359,462.250405982906,3360.5,187.9304091653028,123.55511382234788,True
EK3753,2024-05-16,DXB,BAH,DXB-BAH,Airbus A320,180,159,0.8863,1.3,Normal,Short Haul,High,50906.96,5997.15,56904.11,3061.32,1495.0,1014.0,2210.0,364.0,3944.42,2861.8,2241.05,924.59,6994.31,3909.02,5978.1,2396.43,2127.06,39521.09,17383.02,30.55,5,May,2,Thursday,2024-05,20,8144.32,9971.86,21404.920000000002,357.88748427672954,248.5603144654088,109.32716981132076,234.0,243.17995726495727,168.893547008547,True
EK7483,2024-10-24,DXB,HKG,DXB-HKG,Airbus A380,517,447,0.8662,8.5,Shoulder,Long Haul,High,883473.76,103755.12,987228.88,95850.81,42500.0,17000.0,51000.0,8500.0,6831.11,10751.61,3164.52,5731.57,172728.53,12915.39,79808.67,50342.04,5605.18,562729.42,424499.45,43.0,10,Oct,4,Thursday,2024-10,43,214850.81,26478.81,321399.80999999994,2208.5657270693514,1258.9025055928412,949.6631991051454,4394.5,224.651013767209,128.05311639549438,True
EK8876,2024-12-27,DXB,CDG,DXB-CDG,Boeing 777-300ER,396,366,0.9254,7.5,Peak,Long Haul,High,831171.44,85603.02,916774.46,64536.75,26250.0,11250.0,33750.0,6000.0,11290.01,10888.82,2406.76,4575.46,144329.05,9412.17,53308.95,35291.83,4380.62,417670.42,499104.04,54.44,12,Dec,4,Friday,2024-12,52,141786.75,29161.050000000003,246722.62,2504.84825136612,1141.1760109289617,1363.6722404371585,2970.0,308.6782693602693,140.62977104377103,True
EK3865,2024-05-05,DXB,DEL,DXB-DEL,Boeing 777-300ER,396,305,0.7719,3.5,Normal,Medium Haul,High,223699.83,30924.88,254624.7,30109.27,12250.0,5250.0,15750.0,2800.0,4188.17,5905.11,3567.71,1466.54,31828.65,6599.18,23749.12,13235.2,2564.46,159263.41,95361.29,37.45,5,May,2,Sunday,2024-05,18,66159.27,15127.529999999999,77976.61,834.8350819672131,522.1751147540983,312.6599672131147,1386.0,183.71190476190478,114.90866522366522,True
EK2790,2024-03-28,DXB,MEL,DXB-MEL,Boeing 777-300ER,396,283,0.7169,13.5,Shoulder,Long Haul,Medium,559882.62,60726.22,620608.84,103366.29,47250.0,20250.0,60750.0,10800.0,4139.13,5530.99,3106.15,5881.97,91855.26,6353.29,70643.6,26064.8,2432.18,458423.65,162185.18,26.13,3,Mar,1,Thursday,2024-03,13,242416.28999999998,18658.239999999998,197349.12999999998,2192.964098939929,1619.8715547703182,573.0925088339222,5346.0,116.08844743733631,85.75077628133184,True
EK8087,2024-11-30,DXB,SYD,DXB-SYD,Boeing 777-300ER,396,330,0.8343,14.5,Shoulder,Long Haul,High,403213.33,60070.28,463283.61,122375.83,50750.0,21750.0,65250.0,11600.0,7830.71,7439.32,4444.93,7170.86,79480.45,6599.49,75187.85,14082.73,4055.05,478017.21,-14733.6,-3.18,11,Nov,4,Saturday,2024-11,48,271725.83,26885.82,179405.57,1403.8897272727272,1448.537,-44.64727272727273,5742.0,80.68331765935214,83.24925287356322,False
EK5099,2024-07-05,DXB,RUH,DXB-RUH,Airbus A320,180,128,0.7137,2.2,Low,Short Haul,Medium,18390.76,2076.68,20467.44,5356.74,2530.0,1716.0,3740.0,616.0,2334.25,2067.27,4243.97,1389.53,3397.62,3503.35,6388.2,942.11,1655.29,39880.33,-19412.88,-94.85,7,Jul,3,Friday,2024-07,27,13958.74,10035.020000000002,15886.57,159.901875,311.565078125,-151.663125,396.00000000000006,51.68545454545453,100.70790404040403,False
EK1483,2024-01-16,DXB,SIN,DXB-SIN,Boeing 777-300ER,396,355,0.8969,7.5,Peak,Long Haul,High,805563.26,93186.95,898750.21,68955.86,26250.0,11250.0,33750.0,6000.0,7234.2,5728.12,2040.56,3094.35,117485.19,8345.84,50081.99,53275.64,5309.44,398801.19,499949.02,55.63,1,Jan,1,Tuesday,2024-01,3,146205.86,18097.23,234498.09999999998,2531.690732394366,1123.3836338028168,1408.3070985915494,2970.0,302.60949831649833,134.27649494949495,True
EK6168,2024-08-26,DXB,HKG,DXB-HKG,Boeing 787-9,296,211,0.7147,8.5,Low,Long Haul,High,209422.61,24560.35,233982.96,43119.22,18700.0,10200.0,27200.0,5100.0,7452.72,4039.19,4520.33,4381.49,32907.01,3543.44,32486.61,12670.35,2875.91,209196.27,24786.69,10.59,8,Aug,3,Monday,2024-08,35,104319.22,20393.73,84483.32,1108.923981042654,991.4515165876777,117.4724644549763,2516.0,92.99799682034975,83.14637122416534,True
EK1518,2024-01-19,DXB,HKG,DXB-HKG,Airbus A380,517,488,0.9447,8.5,Peak,Long Haul,High,799643.4,119248.19999999995,918891.6,99301.26,42500.0,17000.0,51000.0,8500.0,4774.58,10755.55,2231.69,5941.42,123059.81,11628.68,64377.37,52055.26,6613.51,499739.13,419152.47,45.62,1,Jan,1,Friday,2024-01,3,218301.26,23703.239999999998,257734.63,1882.9745901639344,1024.055594262295,858.9189959016393,4394.5,209.10037546933665,113.71922403003755,True
EK6419,2024-09-23,DXB,BAH,DXB-BAH,Boeing 737-800,189,154,0.8189,1.3,Normal,Short Haul,High,24983.34,2627.06,27610.4,3030.22,1560.0,1040.0,2340.0,390.0,3844.07,4605.55,4426.200000000004,713.03,4637.27,2327.13,6118.17,1518.1,2179.92,38729.66,-11119.26,-40.27,9,Sep,3,Monday,2024-09,39,8360.22,13588.850000000006,16780.59,179.2883116883117,251.49129870129872,-72.20298701298701,245.70000000000002,112.37444037444037,157.62987382987384,False
EK8504,2024-12-20,DXB,BOM,DXB-BOM,Boeing 777-300ER,396,372,0.9411,3.2,Peak,Medium Haul,High,243780.74,34439.19,278219.94,26754.38,11200.0,4800.0,14400.0,2560.0,5587.32,11125.81,3936.19,1320.46,34374.19,7484.7,27172.05,15945.29,5226.38,171886.77,106333.17,38.22,12,Dec,4,Friday,2024-12,51,59714.380000000005,21969.779999999995,90202.61000000002,747.903064516129,462.0612096774193,285.84185483870965,1267.2,219.5548768939394,135.64296875,True
EK1982,2024-02-12,DXB,HYD,DXB-HYD,Boeing 787-9,296,223,0.7561,4.2,Peak,Medium Haul,Medium,153663.89,19299.95,172963.84,24173.22,9240.0,5040.0,13440.0,2520.0,2643.35,4132.45,3899.59,1694.16,20900.17,4184.83,17785.77,5253.55,3209.42,118116.5,54847.34,31.71,2,Feb,1,Monday,2024-02,7,54413.22,12369.55,51333.740000000005,775.622600896861,529.670403587444,245.95219730941702,1243.2,139.1279279279279,95.0100546975547,True
